Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1929,-.56,-.79,-.19,-.35,-.28,-.39,-.36,-.20,-.20,-.01,-.02,-.66,-.34,-.28,-.46,-.27,-.32,-.08
1930,-.12,-.19,.11,-.16,-.20,-.12,-.03,.01,-.02,.02,.44,.08,-.01,-.07,-.32,-.08,-.04,.15
1931,.00,-.24,-.06,-.20,-.14,.15,.07,.09,.17,.36,.25,.09,.04,.04,-.05,-.13,.10,.26
1932,.38,-.19,-.21,.10,-.10,-.14,-.15,-.09,.10,.14,-.32,-.21,-.06,-.03,.10,-.07,-.13,-.03
1933,-.19,-.30,-.32,-.17,-.26,-.32,-.14,-.15,-.28,-.17,-.25,-.55,-.26,-.23,-.23,-.25,-.20,-.23
1934,-.15,.33,-.27,-.29,.08,-.02,-.04,-.10,-.14,.12,.26,.18,.00,-.06,-.12,-.16,-.05,.08
1935,-.40,.56,.03,-.35,-.29,-.15,-.05,-.07,-.06,.11,-.32,-.17,-.10,-.07,.11,-.21,-.09,-.09
1936,-.29,-.50,-.13,-.06,-.01,.04,.09,.03,.06,.07,.14,.15,-.03,-.06,-.32,-.07,.05,.09
1937,.09,.24,-.23,-.07,.12,.14,.14,.15,.29,.33,.24,.00,.12,.13,.16,-.06,.15,.29
1938,.34,.28,.33,.31,.03,-.07,-.03,.08,.15,.32,.30,-.14,.16,.17,.21,.22,.00,.26
1939,.02,-.01,-.24,-.07,.01,.00,.04,.08,.13,.08,.24,.78,.09,.01,-.04,-.10,.04,.15
1940,-.10,.14,.03,.28,.16,.16,.15,.07,.27,.29,.30,.36,.18,.21,.27,.16,.13,.28
1941,.18,.47,.12,.12,.23,.21,.25,.19,.10,.50,.18,.19,.23,.24,.34,.16,.21,.26
1942,.41,-.08,-.01,.09,.16,.10,-.01,-.08,.11,.28,.26,.27,.13,.12,.17,.08,.01,.21
1943,-.10,.38,-.01,.31,.23,-.07,-.02,.10,.14,.46,.36,.37,.18,.17,.18,.18,.00,.32
1944,.62,.43,.31,.18,.23,.17,.14,.16,.35,.44,.19,-.01,.27,.30,.47,.24,.16,.33
1945,.11,-.06,.09,.29,.08,.08,.06,.28,.20,.24,.09,-.21,.10,.12,.01,.15,.14,.18
1946,.34,.09,.12,.31,.03,-.05,-.04,-.10,-.04,.02,.07,-.45,.03,.05,.07,.15,-.06,.02
1947,-.05,-.04,.28,.22,.06,.00,-.03,-.05,-.01,.40,.19,-.05,.08,.04,-.18,.19,-.03,.19
1948,.30,-.15,-.28,-.03,.17,.04,.01,.02,-.03,.07,.03,-.39,-.02,.01,.04,-.05,.02,.03
1949,.23,-.09,.04,-.03,.00,-.20,-.11,-.05,-.10,.07,.05,-.14,-.03,-.05,-.09,.01,-.12,.01
1950,-.29,-.27,.06,-.22,-.05,-.07,-.19,-.20,-.09,-.06,-.33,-.13,-.15,-.15,-.23,-.07,-.15,-.16
1951,-.36,-.52,-.18,.07,.17,-.02,.08,.22,.33,.28,.08,.38,.04,.00,-.34,.02,.09,.23
1952,.16,.17,-.22,.17,.14,.15,.13,.07,.14,-.02,-.21,.01,.06,.09,.24,.03,.12,-.03
1953,.24,.37,.25,.41,.24,.25,.21,.18,.17,.27,.08,.22,.24,.22,.20,.30,.21,.17
1954,-.24,.00,-.17,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.02,.01,-.01,-.08,-.05,.19
1955,.42,-.13,-.43,-.24,-.13,-.10,-.05,.06,-.02,.12,-.34,-.29,-.09,-.08,.06,-.27,-.03,-.08
1956,-.05,-.32,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.26,-.11,-.23,-.25,-.22,-.27,-.23,-.29
1957,-.14,-.06,-.10,-.10,-.06,.12,.11,.16,.12,.06,.12,.24,.04,.01,-.10,-.08,.13,.10
1958,.68,.28,.16,.02,.12,.04,.04,.13,.07,.08,.03,.18,.15,.16,.40,.10,.07,.06
1959,.24,.16,.32,.22,.04,.14,.05,.09,.13,-.04,.02,.09,.12,.13,.19,.19,.09,.04
1960,.15,.42,-.40,-.13,.03,.19,.09,.11,.12,.05,-.08,.39,.08,.05,.22,-.16,.13,.03
1961,.17,.29,.22,.14,.07,.18,.06,.05,-.02,-.04,.07,-.17,.09,.13,.29,.14,.09,.00
1962,.28,.36,.30,.22,.02,-.13,.10,.04,-.02,.13,.12,.10,.13,.10,.16,.18,.00,.08
1963,.07,.50,-.12,.04,-.05,-.04,.10,.14,.13,.42,.43,.02,.14,.14,.22,-.04,.07,.33
1964,-.05,-.03,-.32,-.30,-.10,-.09,-.13,-.23,-.28,-.31,-.22,-.27,-.19,-.17,-.02,-.24,-.15,-.27
1965,-.02,-.37,-.10,-.26,-.13,-.20,-.18,-.20,-.20,-.02,.04,-.08,-.14,-.16,-.22,-.16,-.20,-.06
1966,-.25,.03,.00,-.22,-.05,.06,.11,.14,.06,-.10,.02,-.03,-.02,-.02,-.10,-.09,.10,.00
1967,-.18,-.37,.23,.05,.21,-.06,.05,.06,-.03,.29,.04,.02,.03,.02,-.19,.16,.02,.10
1968,-.29,-.16,.44,.00,-.06,-.05,-.08,-.08,-.05,.00,-.22,-.33,-.07,-.04,-.14,.13,-.07,-.09
1969,-.43,-.45,-.20,.03,.11,-.04,.06,.05,.04,.03,.15,.31,-.03,-.08,-.40,-.02,.02,.07
1970,-.02,.28,-.07,-.02,.00,.02,-.04,-.05,-.05,-.20,.01,-.31,-.04,.01,.19,-.03,-.03,-.08
1971,-.14,-.21,-.28,-.20,-.12,-.14,-.13,-.16,-.14,-.16,-.01,-.14,-.15,-.17,-.22,-.20,-.14,-.10
1972,-.54,-.52,.01,-.11,-.15,-.10,-.05,-.08,-.26,-.04,-.20,-.04,-.17,-.18,-.40,-.09,-.08,-.17
1973,.15,.44,.32,.19,.09,.16,.04,.03,-.08,-.07,-.09,-.04,.10,.09,.18,.20,.08,-.08
1974,-.25,-.35,.03,-.10,-.19,-.18,-.12,-.11,-.16,-.22,-.20,-.27,-.18,-.16,-.21,-.09,-.14,-.19
1975,.16,.09,.11,.05,-.02,-.08,-.06,-.13,-.07,-.18,-.30,-.22,-.05,-.06,.00,.05,-.09,-.18
1976,.05,-.12,-.31,.02,-.26,-.19,-.26,-.21,-.12,-.51,-.31,-.25,-.21,-.20,-.10,-.18,-.22,-.31
1977,-.16,.11,.27,.25,.23,.23,.08,.02,.13,-.01,.28,.02,.12,.10,-.10,.25,.11,.13
1978,.17,.05,.22,.08,-.06,-.14,-.07,-.14,-.01,.00,.16,.02,.02,.02,.08,.08,-.12,.05
1979,-.05,-.35,.18,-.17,.01,.08,.05,.04,.19,.23,.25,.55,.09,.04,-.13,.01,.06,.22
1980,.21,.41,.07,.15,.26,.19,.14,.09,.10,.12,.20,.09,.17,.21,.39,.16,.14,.14
1981,.79,.63,.67,.39,.18,.28,.09,.16,.14,.23,.35,.54,.37,.33,.50,.42,.18,.24
1982,-.13,.17,.06,.17,.09,.01,.04,-.07,.06,.00,-.11,.38,.06,.07,.19,.11,.00,-.02
1983,.55,.35,.42,.07,.06,.11,.21,.26,.26,.13,.49,.11,.25,.27,.43,.18,.19,.29
1984,.34,.02,.18,-.07,.23,.09,.09,.06,-.03,.09,-.10,-.42,.04,.08,.16,.12,.08,-.02
1985,.07,-.29,.00,-.03,.09,.01,-.07,-.02,.03,.03,.02,.16,.00,-.05,-.21,.02,-.03,.03
1986,.37,.31,.26,.15,.20,.14,-.02,.05,-.02,.09,.04,.06,.14,.14,.28,.20,.06,.04
1987,.25,.51,.00,.07,.23,.17,.26,.27,.39,.22,.11,.51,.25,.21,.27,.10,.23,.24
1988,.59,.46,.48,.44,.43,.40,.42,.26,.26,.23,.06,.43,.37,.38,.52,.45,.36,.19
1989,.08,.39,.45,.32,.22,.24,.32,.26,.25,.25,.12,.34,.27,.28,.30,.33,.27,.20
1990,.48,.55,1.16,.71,.50,.48,.33,.41,.42,.48,.46,.39,.53,.53,.45,.79,.41,.45
1991,.60,.57,.46,.56,.33,.48,.43,.35,.36,.29,.33,.21,.41,.43,.52,.45,.42,.33
1992,.61,.50,.55,.16,.19,.05,-.10,-.07,-.18,-.17,-.08,.21,.14,.14,.44,.30,-.04,-.15
1993,.39,.52,.39,.23,.32,.22,.12,.03,-.06,.12,-.21,.22,.19,.19,.38,.31,.12,-.05
1994,.34,-.04,.50,.49,.39,.42,.34,.32,.33,.54,.50,.36,.37,.36,.17,.46,.36,.46
1995,.75,1.19,.59,.72,.41,.51,.38,.54,.43,.60,.57,.27,.58,.59,.77,.57,.47,.53
1996,.27,.55,.32,.18,.35,.25,.29,.19,.04,.05,.35,.35,.26,.26,.36,.28,.24,.15
1997,.34,.60,.74,.49,.42,.49,.42,.48,.52,.63,.59,.50,.52,.51,.43,.55,.46,.58
1998,.62,1.04,.72,.87,.66,.73,.75,.72,.61,.54,.48,.73,.71,.69,.72,.75,.73,.54
1999,.59,1.00,.29,.54,.36,.35,.36,.30,.40,.39,.53,.66,.48,.49,.77,.40,.34,.44
2000,.38,.89,.83,.89,.55,.44,.42,.47,.37,.29,.20,.27,.50,.53,.64,.76,.44,.28
2001,.57,.46,.76,.60,.69,.51,.63,.68,.56,.60,.98,.65,.64,.61,.43,.68,.61,.71
2002,1.02,1.14,1.12,.51,.52,.68,.67,.55,.62,.54,.79,.42,.71,.73,.94,.71,.63,.65
2003,.93,.56,.67,.61,.72,.55,.68,.86,.78,.99,.66,.99,.75,.70,.64,.66,.70,.81
2004,.67,.92,.87,.70,.52,.47,.50,.55,.60,.70,.99,.45,.66,.70,.86,.70,.50,.76
2005,.94,.72,.94,.93,.78,.79,.75,.69,.90,.95,1.06,.84,.86,.83,.70,.88,.75,.97
2006,.65,.95,.78,.59,.76,.81,.69,.69,.82,.96,.95,1.15,.82,.79,.82,.71,.73,.91
2007,1.45,.90,.96,1.07,.72,.65,.66,.73,.67,.83,.82,.77,.85,.89,1.17,.92,.68,.78
2008,.34,.58,1.14,.65,.60,.61,.60,.60,.58,.86,.97,.66,.68,.69,.56,.80,.60,.80
2009,.82,.70,.60,.71,.66,.68,.68,.72,.85,.79,.85,.67,.73,.73,.73,.65,.70,.83
2010,.81,.94,1.10,1.13,.94,.85,.89,.87,.71,.90,1.21,.50,.90,.92,.81,1.06,.87,.94
2011,.61,.57,.88,.85,.66,.76,.73,.71,.74,.91,.66,.88,.75,.72,.56,.80,.73,.77
2012,.68,.59,.72,1.07,.97,.94,.86,.76,.87,.91,.98,.46,.82,.85,.72,.92,.85,.92
2013,.85,.79,.82,.69,.78,.77,.70,.74,.70,.83,1.13,.84,.80,.77,.70,.76,.74,.89
2014,.98,.72,1.20,1.09,.91,.82,.77,.91,.84,.94,.82,1.11,.93,.90,.84,1.07,.84,.86
2015,1.18,1.20,1.33,1.02,1.05,1.06,.92,1.02,1.18,1.30,1.39,1.54,1.18,1.15,1.16,1.13,1.00,1.29
2016,1.55,1.95,1.91,1.49,1.12,1.13,1.05,1.13,1.23,1.04,1.12,1.04,1.31,1.35,1.68,1.51,1.10,1.13
2017,1.40,1.53,1.52,1.21,.93,.93,.97,1.02,1.01,1.05,1.23,1.40,1.18,1.15,1.32,1.22,.98,1.10
2018,1.14,1.25,1.18,.98,1.02,.87,.91,.87,.97,1.25,1.00,1.11,1.05,1.07,1.26,1.06,.88,1.08
2019,1.21,1.14,1.55,1.26,.99,1.20,1.04,1.09,1.22,1.31,1.21,1.40,1.22,1.19,1.15,1.27,1.11,1.25
2020,1.60,1.72,1.67,1.41,1.28,1.14,1.11,1.13,1.20,1.22,1.64,***,***,1.38,1.57,1.46,1.13,1.35
